Bin Id,Marker Id,Gene Ids
final.contigs.fa.metabat_bins_10,PF02401.13,k99_1296398_1
final.contigs.fa.metabat_bins_10,PF02401.13,k99_2310895_4
final.contigs.fa.metabat_bins_12,PF00490.16,k99_2273825_2
final.contigs.fa.metabat_bins_12,PF00490.16,k99_3936648_4
final.contigs.fa.metabat_bins_12,PF03484.10,k99_357791_7
final.contigs.fa.metabat_bins_12,PF03484.10,k99_4102361_2
final.contigs.fa.metabat_bins_12,PF03484.10,k99_42530_2
final.contigs.fa.metabat_bins_12,PF04963.8,k99_1166178_6
final.contigs.fa.metabat_bins_12,PF04963.8,k99_720139_5
final.contigs.fa.metabat_bins_12,PF03147.9,k99_357791_7
final.contigs.fa.metabat_bins_12,PF03147.9,k99_4102361_2
final.contigs.fa.metabat_bins_12,PF03147.9,k99_42530_2
final.contigs.fa.metabat_bins_12,PF00309.15,k99_1166178_6
final.contigs.fa.metabat_bins_12,PF00309.15,k99_720139_5
final.contigs.fa.metabat_bins_12,TIGR01059,k99_4362704_10
final.contigs.fa.metabat_bins_12,TIGR01059,k99_4567734_2
final.contigs.fa.metabat_bins_12,PF00709.16,k99_250933_2
final.contigs.fa.metabat_bins_12,PF00709.16,k99_3351699_7
final.contigs.fa.metabat_bins_12,PF06574.7,k99_385153_1
final.contigs.fa.metabat_bins_12,PF06574.7,k99_673038_1
final.contigs.fa.metabat_bins_12,PF01351.13,k99_1720294_2
final.contigs.fa.metabat_bins_12,PF01351.13,k99_2805514_12
final.contigs.fa.metabat_bins_12,PF08529.6,k99_1785176_2
final.contigs.fa.metabat_bins_12,PF08529.6,k99_252473_2
final.contigs.fa.metabat_bins_12,PF01746.16,k99_1729608_1
final.contigs.fa.metabat_bins_12,PF01746.16,k99_2805514_9
final.contigs.fa.metabat_bins_12,PF00312.17,k99_252473_8
final.contigs.fa.metabat_bins_12,PF00312.17,k99_4204626_2
final.contigs.fa.metabat_bins_12,PF04552.8,k99_1166178_6
final.contigs.fa.metabat_bins_12,PF04552.8,k99_720139_5
final.contigs.fa.metabat_bins_12,PF02768.10,k99_387685_1
final.contigs.fa.metabat_bins_12,PF02768.10,k99_4362704_11
final.contigs.fa.metabat_bins_12,PF06421.7,k99_136099_1
final.contigs.fa.metabat_bins_12,PF06421.7,k99_2624530_1
final.contigs.fa.metabat_bins_12,PF01715.12,k99_1810079_2
final.contigs.fa.metabat_bins_12,PF01715.12,k99_2495429_3
final.contigs.fa.metabat_bins_12,PF01715.12,k99_2885815_3
final.contigs.fa.metabat_bins_12,PF03772.11,k99_2309284_5
final.contigs.fa.metabat_bins_12,PF03772.11,k99_342846_1
final.contigs.fa.metabat_bins_12,PF04085.9,k99_1300985_5
final.contigs.fa.metabat_bins_12,PF04085.9,k99_3679444_2
final.contigs.fa.metabat_bins_12,PF01245.15,k99_1720294_1
final.contigs.fa.metabat_bins_12,PF01245.15,k99_1729608_3
final.contigs.fa.metabat_bins_12,PF01245.15,k99_2805514_11
final.contigs.fa.metabat_bins_12,PF01687.12,k99_385153_1
final.contigs.fa.metabat_bins_12,PF01687.12,k99_673038_1
final.contigs.fa.metabat_bins_12,PF02021.12,k99_1720294_4
final.contigs.fa.metabat_bins_12,PF02021.12,k99_2805514_13
final.contigs.fa.metabat_bins_12,PF03726.9,k99_252473_9
final.contigs.fa.metabat_bins_12,PF03726.9,k99_4204626_1
final.contigs.fa.metabat_bins_12,TIGR00670,k99_434668_7
final.contigs.fa.metabat_bins_12,TIGR00670,k99_4636795_7
final.contigs.fa.metabat_bins_12,PF13184.1,k99_1785176_2
final.contigs.fa.metabat_bins_12,PF13184.1,k99_252473_2
final.contigs.fa.metabat_bins_12,TIGR00644,k99_1297690_1
final.contigs.fa.metabat_bins_12,TIGR00644,k99_1810079_1
final.contigs.fa.metabat_bins_12,TIGR00644,k99_2885815_2
final.contigs.fa.metabat_bins_12,PF01709.15,k99_263125_2
final.contigs.fa.metabat_bins_12,PF01709.15,k99_695928_9
final.contigs.fa.metabat_bins_12,PF12072.3,k99_1695929_3
final.contigs.fa.metabat_bins_12,PF12072.3,k99_55394_6
final.contigs.fa.metabat_bins_12,PF01252.13,k99_1288185_3
final.contigs.fa.metabat_bins_12,PF01252.13,k99_2127355_3
final.contigs.fa.metabat_bins_12,PF02576.12,k99_1785176_3
final.contigs.fa.metabat_bins_12,PF02576.12,k99_252473_1
final.contigs.fa.metabat_bins_12,PF03309.9,k99_1366308_3
final.contigs.fa.metabat_bins_12,PF03309.9,k99_291686_5
final.contigs.fa.metabat_bins_15,PF00562.23,k99_2000557_1
final.contigs.fa.metabat_bins_15,PF00562.23,k99_585589_2
final.contigs.fa.metabat_bins_15,PF00410.14,k99_2514664_8
final.contigs.fa.metabat_bins_15,PF00410.14,k99_71030_1
final.contigs.fa.metabat_bins_16,PF04983.13,k99_2070099_2
final.contigs.fa.metabat_bins_16,PF04983.13,k99_345979_5
final.contigs.fa.metabat_bins_16,PF00677.12,k99_224765_4
final.contigs.fa.metabat_bins_16,PF00677.12,k99_25026_1
final.contigs.fa.metabat_bins_16,PF03719.10,k99_3903546_1
final.contigs.fa.metabat_bins_16,PF03719.10,k99_4665603_1
final.contigs.fa.metabat_bins_16,PF00562.23,k99_2070099_1
final.contigs.fa.metabat_bins_16,PF00562.23,k99_64896_1
final.contigs.fa.metabat_bins_16,PF01281.14,k99_1290147_1
final.contigs.fa.metabat_bins_16,PF01281.14,k99_182532_7
final.contigs.fa.metabat_bins_16,PF03948.9,k99_1290147_1
final.contigs.fa.metabat_bins_16,PF03948.9,k99_182532_7
final.contigs.fa.metabat_bins_16,PF01765.14,k99_1692977_4
final.contigs.fa.metabat_bins_16,PF01765.14,k99_2458170_1
final.contigs.fa.metabat_bins_16,PF04560.15,k99_2070099_1
final.contigs.fa.metabat_bins_16,PF04560.15,k99_64896_1
final.contigs.fa.metabat_bins_16,PF00623.15,k99_2070099_2
final.contigs.fa.metabat_bins_16,PF00623.15,k99_64896_1
final.contigs.fa.metabat_bins_17,TIGR00344,k99_11145_1
final.contigs.fa.metabat_bins_17,TIGR00344,k99_1879469_2
final.contigs.fa.metabat_bins_18,PF01632.14,k99_3934541_20
final.contigs.fa.metabat_bins_18,PF01632.14,k99_4608626_12
final.contigs.fa.metabat_bins_18,PF01281.14,k99_347510_10
final.contigs.fa.metabat_bins_18,PF01281.14,k99_4308553_17
final.contigs.fa.metabat_bins_18,PF00466.15,k99_204220_1
final.contigs.fa.metabat_bins_18,PF00466.15,k99_213705_1
final.contigs.fa.metabat_bins_18,TIGR00967,k99_1453772_6
final.contigs.fa.metabat_bins_18,TIGR00967,k99_4236851_3
final.contigs.fa.metabat_bins_18,PF01121.15,k99_225233_5
final.contigs.fa.metabat_bins_18,PF01121.15,k99_57127_5
final.contigs.fa.metabat_bins_18,PF01765.14,k99_392786_2
final.contigs.fa.metabat_bins_18,PF01765.14,k99_620153_2
final.contigs.fa.metabat_bins_18,PF04998.12,k99_23256_1
final.contigs.fa.metabat_bins_18,PF04998.12,k99_265131_1
final.contigs.fa.metabat_bins_18,PF01409.15,k99_3934541_18
final.contigs.fa.metabat_bins_18,PF01409.15,k99_4608626_10
final.contigs.fa.metabat_bins_18,TIGR00459,k99_2964040_8
final.contigs.fa.metabat_bins_18,TIGR00459,k99_460949_11
final.contigs.fa.metabat_bins_18,TIGR03594,k99_2257007_5
final.contigs.fa.metabat_bins_18,TIGR03594,k99_340855_18
